symbol,chain_id,direction,entry,stop_loss,tp1,rr,status,pnl_r,signal_time,entry_time,exit_time,exit_price,bars_in_trade
BTC/USDT,Signal_1,LONG,101890.6,99874.37957142857,102404.07,1.68,CLOSED_SL,-1.0,2025-11-07 08:00,2025-11-07 08:15,2025-11-07 11:15,99874.37957142857,13
BTC/USDT,Signal_1,LONG,101890.6,99874.37957142857,102404.07,1.68,CLOSED_TP,1.68,2025-11-07 09:00,2025-11-07 17:15,2025-11-07 17:15,102404.07,1
BTC/USDT,Signal_1,LONG,101890.6,99874.37957142857,102404.07,1.68,CLOSED_TP,1.68,2025-11-07 11:30,2025-11-07 17:15,2025-11-07 17:15,102404.07,1
BTC/USDT,Signal_1,LONG,104521.7176,102431.283248,106129.45295714286,1.54,CANCELLED,0.0,2025-11-10 08:00,,2025-11-10 08:15,,0
BTC/USDT,Signal_1,LONG,104521.7176,102431.283248,106129.45295714286,1.54,CANCELLED,0.0,2025-11-10 09:30,,2025-11-10 09:45,,0
BTC/USDT,Signal_1,LONG,104521.7176,102431.283248,106283.685,2.93,CANCELLED,0.0,2025-11-10 12:00,,2025-11-10 13:00,,0
BTC/USDT,Signal_1,LONG,104521.7176,102431.283248,106283.685,2.93,CANCELLED,0.0,2025-11-10 14:30,,2025-11-10 20:00,,0
BTC/USDT,Signal_1,LONG,104521.7176,102431.283248,106283.685,2.93,CANCELLED,0.0,2025-11-10 17:00,,2025-11-10 20:00,,0
BTC/USDT,Signal_1,LONG,104521.7176,102431.283248,106283.685,2.93,CANCELLED,0.0,2025-11-10 20:00,,2025-11-11 01:15,,0
BTC/USDT,Signal_1,LONG,104521.7176,102431.283248,106283.685,2.93,CANCELLED,0.0,2025-11-10 22:00,,2025-11-11 01:15,,0
BTC/USDT,Signal_1,LONG,104521.7176,102431.283248,106058.61,2.93,CANCELLED,0.0,2025-11-11 04:00,,2025-11-11 04:15,,0
BTC/USDT,Signal_1,LONG,104521.7176,102431.283248,106058.61,2.93,CLOSED_SL,-1.0,2025-11-11 05:30,2025-11-11 12:45,2025-11-12 15:45,102431.283248,109
BTC/USDT,Signal_1,LONG,104521.7176,102431.283248,106755.565,2.93,CLOSED_SL,-1.0,2025-11-11 08:00,2025-11-11 12:45,2025-11-12 15:45,102431.283248,109
BTC/USDT,Signal_1,LONG,103196.38,102039.38685714285,104246.11499999999,6.45,CANCELLED,0.0,2025-11-12 15:45,,2025-11-13 04:30,,0
BTC/USDT,Signal_1,LONG,101656.7404,100346.56007142857,102698.70999999999,1.91,CANCELLED,0.0,2025-11-13 04:30,,2025-11-13 05:45,,0
BTC/USDT,Signal_1,LONG,101656.7404,100346.56007142857,102698.70999999999,1.91,CANCELLED,0.0,2025-11-13 05:45,,2025-11-13 06:00,,0
