symbol,chain_id,direction,entry,stop_loss,tp1,rr,status,pnl_r,signal_time,entry_time,exit_time,exit_price,bars_in_trade
BTC/USDT,Signal_1,LONG,113966.6996,112601.18264285715,115259.7863857143,1.89,CANCELLED,0.0,2025-09-11 20:00,,2025-09-11 22:45,,0
BTC/USDT,Signal_1,LONG,113966.6996,112601.18264285715,115259.7863857143,1.89,CANCELLED,0.0,2025-09-11 22:00,,2025-09-11 22:45,,0
BTC/USDT,Signal_1,LONG,117318.083,115591.54871428572,118889.78942857143,1.82,CLOSED_SL,-1.0,2025-09-18 12:00,2025-09-18 13:00,2025-09-19 15:00,115591.54871428572,105
BTC/USDT,Signal_1,LONG,117318.083,115591.54871428572,118889.78942857143,1.82,CLOSED_SL,-1.0,2025-09-18 14:00,2025-09-18 19:30,2025-09-19 15:00,115591.54871428572,79
BTC/USDT,Signal_1,LONG,117057.3504,115607.82114285714,118547.69468571428,2.06,CANCELLED,0.0,2025-09-19 15:00,,2025-09-20 03:45,,0
BTC/USDT,Signal_1,LONG,112372.23999999999,111122.13657142858,113563.01000000001,2.04,CLOSED_TP,2.04,2025-09-24 04:00,2025-09-24 04:30,2025-09-24 14:45,113563.01000000001,42
BTC/USDT,Signal_1,LONG,112372.23999999999,111122.13657142858,113563.01000000001,2.04,CLOSED_TP,2.04,2025-09-24 05:00,2025-09-24 05:15,2025-09-24 14:45,113563.01000000001,39
BTC/USDT,1.5,LONG,115551.69,113440.30935714286,117177.24321428571,1.54,CANCELLED,0.0,2025-10-01 12:00,,2025-10-01 14:00,,0
BTC/USDT,1.5,LONG,115551.69,113440.30935714286,117177.24321428571,1.54,CANCELLED,0.0,2025-10-01 14:30,,2025-10-01 14:45,,0
BTC/USDT,1.5,LONG,115551.69,113420.62935714285,117275.64321428571,1.62,CANCELLED,0.0,2025-10-01 17:00,,2025-10-01 17:15,,0
BTC/USDT,1.5,LONG,115551.69,113420.62935714285,117275.64321428571,1.62,CANCELLED,0.0,2025-10-01 19:30,,2025-10-01 19:45,,0
BTC/USDT,1.5,LONG,119143.06,117922.20264285714,120928.59678571428,2.93,CANCELLED,0.0,2025-10-02 16:00,,2025-10-02 19:00,,0
BTC/USDT,1.5,LONG,119143.06,117922.20264285714,120928.59678571428,2.93,CANCELLED,0.0,2025-10-02 18:00,,2025-10-02 19:00,,0
BTC/USDT,1.5,LONG,119143.06,117921.55078571428,120931.85607142857,2.93,CANCELLED,0.0,2025-10-02 20:30,,2025-10-03 09:15,,0
BTC/USDT,1.5,LONG,119143.06,117921.55078571428,120931.85607142857,2.93,CANCELLED,0.0,2025-10-02 23:00,,2025-10-03 11:45,,0
BTC/USDT,Signal_1,LONG,120259.797,118582.13585714286,121981.56771428572,2.05,CLOSED_TP,2.05,2025-10-03 09:15,2025-10-03 09:30,2025-10-03 15:45,121981.56771428572,26
BTC/USDT,Signal_1,LONG,120259.797,118582.13585714286,121981.56771428572,2.05,CLOSED_TP,2.05,2025-10-03 11:45,2025-10-03 12:15,2025-10-03 15:45,121981.56771428572,15
BTC/USDT,1.5,LONG,120991.07,119223.09842857142,122928.52785714286,2.19,CANCELLED,0.0,2025-10-03 16:00,,2025-10-03 16:15,,0
BTC/USDT,1.5,LONG,120991.07,119223.09842857142,122928.52785714286,2.19,CANCELLED,0.0,2025-10-03 16:30,,2025-10-03 16:45,,0
BTC/USDT,1.5,LONG,120991.07,119223.09842857142,122928.52785714286,2.19,CANCELLED,0.0,2025-10-03 19:00,,2025-10-03 19:30,,0
BTC/USDT,1.5,LONG,120991.07,119252.77335714285,122780.15321428572,2.06,CANCELLED,0.0,2025-10-04 00:00,,2025-10-04 05:15,,0
BTC/USDT,1.5,LONG,120991.07,119272.16942857142,122683.17285714287,1.97,CANCELLED,0.0,2025-10-04 05:15,,2025-10-04 05:30,,0
BTC/USDT,1.5,LONG,120991.07,119234.906,122869.49,2.14,CANCELLED,0.0,2025-10-03 21:30,,2025-10-04 10:15,,0
BTC/USDT,1.5,LONG,120991.07,119272.16942857142,122683.17285714287,1.97,CANCELLED,0.0,2025-10-04 07:30,,2025-10-04 20:15,,0
BTC/USDT,1.5,LONG,120991.07,119283.13764285714,122628.3317857143,1.92,CANCELLED,0.0,2025-10-04 10:15,,2025-10-04 23:00,,0
BTC/USDT,1.5,LONG,120991.07,119300.55221428571,122541.25892857143,1.83,CANCELLED,0.0,2025-10-04 20:15,,2025-10-05 02:15,,0
BTC/USDT,1.5,LONG,120991.07,119300.55221428571,122541.25892857143,1.83,CANCELLED,0.0,2025-10-04 23:00,,2025-10-05 02:15,,0
BTC/USDT,Signal_1,LONG,121868.9956,120193.76992857143,123479.59595714285,1.92,CANCELLED,0.0,2025-10-05 02:15,,2025-10-05 02:30,,0
BTC/USDT,Signal_1,LONG,121868.9956,120193.76992857143,123479.59595714285,1.92,CANCELLED,0.0,2025-10-05 03:30,,2025-10-05 03:45,,0
BTC/USDT,1.5,LONG,123072.0,121352.48392857143,124803.98035714286,2.01,CANCELLED,0.0,2025-10-05 04:00,,2025-10-05 04:45,,0
BTC/USDT,1.5,LONG,123072.0,121352.48392857143,124803.98035714286,2.01,CANCELLED,0.0,2025-10-05 06:00,,2025-10-05 06:15,,0
BTC/USDT,1.5,LONG,123072.0,121318.47185714287,124974.04071428571,2.17,CLOSED_TP,2.17,2025-10-05 08:30,2025-10-05 09:30,2025-10-06 13:30,124974.04071428571,113
BTC/USDT,1.5,LONG,123072.0,121318.47185714287,124974.04071428571,2.17,CLOSED_TP,2.17,2025-10-05 11:00,2025-10-05 11:15,2025-10-06 13:30,124974.04071428571,106
BTC/USDT,Signal_1,LONG,123626.822,121948.944,125390.252,2.1,CANCELLED,0.0,2025-10-06 13:30,,2025-10-06 15:15,,0
BTC/USDT,Signal_1,LONG,123626.822,121948.944,125390.252,2.1,CANCELLED,0.0,2025-10-06 14:30,,2025-10-06 15:15,,0
BTC/USDT,Signal_1,LONG,123626.822,121931.31664285714,125478.38878571428,2.18,CANCELLED,0.0,2025-10-06 17:00,,2025-10-06 17:15,,0
BTC/USDT,Signal_1,LONG,123626.822,121931.31664285714,125478.38878571428,2.18,CANCELLED,0.0,2025-10-06 19:30,,2025-10-06 19:45,,0
BTC/USDT,Signal_1,LONG,123626.822,121926.7692857143,125501.12557142857,2.2,CLOSED_SL,-1.0,2025-10-06 22:00,2025-10-07 07:15,2025-10-07 15:00,121926.7692857143,32
BTC/USDT,Signal_1,LONG,123626.822,121915.49657142858,125557.48914285714,2.26,CLOSED_SL,-1.0,2025-10-07 00:30,2025-10-07 07:15,2025-10-07 15:00,121915.49657142858,32
BTC/USDT,Signal_1,LONG,124040.1268,121992.0025,126130.1143,2.04,CANCELLED,0.0,2025-10-07 15:00,,2025-10-08 03:45,,0
BTC/USDT,Signal_1,LONG,124040.1268,121992.0025,126130.1143,2.04,CANCELLED,0.0,2025-10-07 15:30,,2025-10-08 04:15,,0
BTC/USDT,Signal_1,LONG,121493.122,120168.221,122703.51999999999,1.96,CANCELLED,0.0,2025-10-08 08:00,,2025-10-08 08:30,,0
BTC/USDT,Signal_1,LONG,121493.122,120168.221,122703.51999999999,1.96,CANCELLED,0.0,2025-10-08 09:00,,2025-10-08 10:00,,0
BTC/USDT,Signal_1,LONG,121493.122,120168.221,122703.51999999999,1.96,CANCELLED,0.0,2025-10-08 11:30,,2025-10-08 11:45,,0
BTC/USDT,Signal_1,LONG,121493.122,120150.75135714286,122703.51999999999,1.93,CANCELLED,0.0,2025-10-08 14:00,,2025-10-08 14:15,,0
BTC/USDT,Signal_1,LONG,121493.122,120130.48057142858,122703.51999999999,1.9,CANCELLED,0.0,2025-10-08 16:30,,2025-10-08 16:45,,0
BTC/USDT,Signal_1,LONG,121493.122,120130.48057142858,122703.51999999999,1.9,CANCELLED,0.0,2025-10-08 19:00,,2025-10-08 19:15,,0
